Filename,Latitude,Longitude,LSTM Prediction,ElasticNet Prediction
2024-12-07T02-48-54.724063Z_210_vnaData.s1p,-28.862975,122.526947,37.088955,48.508701538354295
2024-12-07T02-49-06.225138Z_210_vnaData.s1p,-28.862976,122.526944,51.83619,74.07861818043605
2024-12-07T02-49-29.156531Z_210_vnaData.s1p,-28.862976,122.526938,48.68858,78.1235203127725
2024-12-07T02-49-52.088650Z_210_vnaData.s1p,-28.862969,122.526945,44.108902,73.32412748202445
2024-12-07T02-50-03.520108Z_210_vnaData.s1p,-28.86297,122.526943,37.951107,47.50835504529264
2024-12-07T02-50-14.904167Z_210_vnaData.s1p,-28.86297,122.526943,58.90617,94.53896753338655
2024-12-07T02-50-26.408935Z_210_vnaData.s1p,-28.86297,122.526943,41.92258,78.34245625450397
2024-12-07T02-50-49.278335Z_210_vnaData.s1p,-28.86297,122.526943,58.306488,74.84288677300486
2024-12-07T02-51-12.893360Z_210_vnaData.s1p,-28.86297,122.526943,39.338478,45.04186146663834
2024-12-07T02-51-24.303191Z_210_vnaData.s1p,-28.86297,122.526943,24.058525,67.15960433305135
2024-12-07T02-51-47.205211Z_210_vnaData.s1p,-28.86297,122.526943,29.083487,86.17253845019667
2024-12-07T02-52-10.176447Z_210_vnaData.s1p,-28.862974,122.526945,33.275646,93.69049298670295
2024-12-07T02-52-33.112046Z_210_vnaData.s1p,-28.862979,122.526956,30.93596,85.78769596259878
2024-12-07T02-52-44.529617Z_210_vnaData.s1p,-28.86298,122.526958,21.652527,83.9398937189968
2024-12-07T02-52-56.038970Z_210_vnaData.s1p,-28.862976,122.526965,31.438087,76.76273082692535
2024-12-07T02-53-07.543124Z_210_vnaData.s1p,-28.862986,122.526952,26.138016,77.44740726870296
2024-12-07T02-53-30.340918Z_210_vnaData.s1p,-28.862986,122.52694,25.91713,82.14797067817703
2024-12-07T02-53-53.335116Z_210_vnaData.s1p,-28.862987,122.52694,29.614098,76.6842678077348
2024-12-07T02-54-04.741359Z_210_vnaData.s1p,-28.862985,122.526935,40.235672,85.98567957602948
2024-12-07T02-54-16.230283Z_210_vnaData.s1p,-28.862985,122.526935,33.472298,72.23955570751684
2024-12-07T02-54-39.748934Z_210_vnaData.s1p,-28.862984,122.526929,37.00553,40.47346853863511
2024-12-07T02-54-51.235943Z_210_vnaData.s1p,-28.862984,122.526928,56.901028,75.88413765488619
2024-12-07T02-55-14.119405Z_210_vnaData.s1p,-28.862988,122.526939,59.568684,70.08971466002852
2024-12-07T02-55-25.630258Z_210_vnaData.s1p,-28.862979,122.526938,40.80929,68.4488673831703
2024-12-07T02-55-48.524042Z_210_vnaData.s1p,-28.86297,122.526938,68.533554,87.66595360040728
2024-12-07T02-56-11.358919Z_210_vnaData.s1p,-28.862975,122.526932,70.71033,82.99826514605037
2024-12-07T02-56-34.427076Z_210_vnaData.s1p,-28.862976,122.526936,83.09515,89.6084448856603
2024-12-07T02-56-45.834682Z_210_vnaData.s1p,-28.862976,122.526936,77.16157,79.00606473195377
2024-12-07T02-56-57.325247Z_210_vnaData.s1p,-28.862957,122.52695,54.701622,42.26885697570745
2024-12-07T02-57-20.190184Z_210_vnaData.s1p,-28.862776,122.52709,70.237236,89.3823766769186
2024-12-07T02-57-31.751845Z_210_vnaData.s1p,-28.862656,122.527188,33.085155,44.30559818741094
2024-12-07T02-57-54.541352Z_210_vnaData.s1p,-28.862443,122.527337,66.54206,77.3965720563385
2024-12-07T02-58-06.057762Z_210_vnaData.s1p,-28.862345,122.527421,43.61316,55.695915600545284
2024-12-07T02-58-17.439662Z_210_vnaData.s1p,-28.862292,122.527445,91.567406,60.89108337289986
2024-12-07T02-58-40.385379Z_210_vnaData.s1p,-28.862297,122.527449,0.46597674,32.51749776373065
2024-12-07T02-59-03.954761Z_210_vnaData.s1p,-28.86241,122.52744,9.484271,-49.60323033005546
2024-12-07T02-59-15.479149Z_210_vnaData.s1p,-28.862491,122.527451,41.546688,-43.4204495244933
2024-12-07T02-59-38.325795Z_210_vnaData.s1p,-28.862599,122.52746,32.309063,-92.01875175584667
