Column1,DateTime,Default GPS,VaneSize,Depth,ShearStrenght,Result,TSF,Comments,Attachments,MachineID,Operator,Instrument,CorrectionFactor,Created,Title,Manual GPS,Modified
Amrun,31/07/2024 7:24,"-12.95933313, 141.62360584",20x40,20,12,12,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 7:25,VS,,31/07/2024 7:25
Amrun,29/07/2024 15:58,"-12.95672954, 141.63371946",20x40,50,12,12,South Cell,,0,MM43,Joe Johanson,H-60,1,29/07/2024 15:58,VS,,29/07/2024 15:58
Amrun,29/07/2024 15:58,"-12.95672954, 141.63371946",20x40,80,40,40,South Cell,,0,MM43,Joe Johanson,H-60,1,29/07/2024 15:58,VS,,29/07/2024 15:58
Amrun,29/07/2024 15:57,"-12.95672954, 141.63371946",20x40,20,6,6,South Cell,,0,MM43,Joe Johanson,H-60,1,29/07/2024 15:58,VS,,29/07/2024 15:58
Amrun,29/07/2024 15:20,"-12.95662034, 141.63484882",20x40,50,12,12,South Cell,,0,MM43,Joe Johanson,H-60,1,29/07/2024 15:20,VS,,29/07/2024 15:20
Amrun,29/07/2024 15:20,"-12.95662034, 141.63484882",20x40,80,20,20,South Cell,,0,MM43,Joe Johanson,H-60,1,29/07/2024 15:20,VS,,29/07/2024 15:20
Amrun,29/07/2024 15:19,"-12.95662034, 141.63484882",20x40,20,6,6,South Cell,,0,MM43,Joe Johanson,H-60,1,29/07/2024 15:20,VS,,29/07/2024 15:20
Amrun,29/07/2024 13:19,"-12.9583357, 141.63993807",20x40,50,0,0,South Cell,,0,MM43,Joe Johanson,H-60,1,29/07/2024 13:19,VS,,29/07/2024 13:19
Amrun,29/07/2024 13:19,"-12.9583357, 141.63993807",20x40,80,2,2,South Cell,,0,MM43,Joe Johanson,H-60,1,29/07/2024 13:19,VS,,29/07/2024 13:19
Amrun,29/07/2024 13:16,"-12.9583357, 141.63993807",20x40,20,0,0,South Cell,,0,MM43,Joe Johanson,H-60,1,29/07/2024 13:18,VS,,29/07/2024 13:18
Amrun,28/07/2024 9:37,"-12.96307166, 141.63970317",20x40,50,76,76,South Cell,,0,MM43,Joe Johanson,H-60,1,28/07/2024 9:37,VS,,28/07/2024 9:37
Amrun,28/07/2024 9:37,"-12.96307166, 141.63970317",20x40,80,140,140,South Cell,Could not penetrate ,0,MM43,Joe Johanson,H-60,1,28/07/2024 9:38,VS,,28/07/2024 9:38
Amrun,28/07/2024 9:36,"-12.96300835, 141.63979424",20x40,20,24,24,South Cell,,0,MM43,Joe Johanson,H-60,1,28/07/2024 9:37,VS,,28/07/2024 9:37
Amrun,27/07/2024 16:30,"-12.95703645, 141.6283772",20x40,80,50,50,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 16:30,VS,,27/07/2024 16:30
Amrun,27/07/2024 16:29,"-12.95703645, 141.6283772",20x40,20,4,4,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 16:29,VS,,27/07/2024 16:29
Amrun,27/07/2024 16:29,"-12.95703645, 141.6283772",20x40,50,18,18,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 16:30,VS,,27/07/2024 16:30
Amrun,27/07/2024 15:39,"-12.95710889, 141.62732042",20x40,50,140,140,South Cell,Could not penetrate ,0,MM43,Joe Johanson,H-60,1,27/07/2024 15:39,VS,,27/07/2024 15:39
Amrun,27/07/2024 15:39,"-12.95710889, 141.62732042",20x40,80,140,140,South Cell,Could not penetrate ,0,MM43,Joe Johanson,H-60,1,27/07/2024 15:39,VS,,27/07/2024 15:39
Amrun,27/07/2024 15:38,"-12.95710889, 141.62732042",20x40,20,32,32,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 15:39,VS,,27/07/2024 15:39
Amrun,27/07/2024 15:02,"-12.95719696, 141.62620917",20x40,50,12,12,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 15:02,VS,,27/07/2024 15:02
Amrun,27/07/2024 15:02,"-12.95719696, 141.62620917",20x40,80,50,50,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 15:03,VS,,27/07/2024 15:03
