UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Mud Condition,Predicted Mud Condition
2025-01-17 08:15:25,-33.218513,116.066223,Unknown,0.032380274565106726
2025-01-17 08:13:20,-33.218525,116.06617,Unknown,-0.5840818180129372
2025-01-17 08:12:05,-33.218464,116.066277,Unknown,-0.4637416247313446
2025-01-17 08:11:40,-33.218357,116.06646,Unknown,-0.10616936806009392
2025-01-17 08:11:15,-33.21825,116.06665,Unknown,-0.08366393279708051
2025-01-17 08:10:50,-33.218151,116.066811,Unknown,0.22748941432485914
2025-01-17 08:10:25,-33.21806,116.066978,Unknown,0.15143632122254447
2025-01-17 08:10:00,-33.217957,116.067139,Unknown,0.2607059394996043
2025-01-17 08:09:35,-33.217857,116.067299,Unknown,0.2570044243768763
2025-01-17 08:09:10,-33.217766,116.067459,Unknown,0.23134388199610867
2025-01-17 08:08:45,-33.217663,116.067627,Unknown,0.3267773458662995
2025-01-17 08:08:20,-33.217575,116.067787,Unknown,0.266742043100759
2025-01-17 08:07:55,-33.21748,116.067932,Unknown,0.4021246017372766
2025-01-17 08:07:30,-33.217392,116.068085,Unknown,0.4848108859549183
2025-01-17 08:07:05,-33.217304,116.068245,Unknown,0.33558944306177985
2025-01-17 08:06:40,-33.217213,116.06839,Unknown,0.3677211969232499
2025-01-17 08:06:15,-33.217125,116.068535,Unknown,0.42905176178392
2025-01-17 08:05:50,-33.217033,116.068687,Unknown,0.5362458604385152
2025-01-17 08:05:25,-33.216942,116.068848,Unknown,1.100046470027284
2025-01-17 08:05:00,-33.216846,116.068993,Unknown,1.4315958017344907
2025-01-17 08:04:35,-33.216743,116.069168,Unknown,0.7187465806796136
2025-01-17 08:04:10,-33.21664,116.069344,Unknown,0.9063384562034686
2025-01-17 08:03:45,-33.216553,116.069489,Unknown,0.4126868485416335
2025-01-17 08:03:20,-33.216484,116.069611,Unknown,0.3021887239523293
2025-01-17 08:02:55,-33.216476,116.069618,Unknown,0.8571193781436284
2025-01-17 08:02:30,-33.216572,116.069466,Unknown,0.9434940727991135
2025-01-17 08:02:05,-33.216679,116.069305,Unknown,1.2523381185528042
2025-01-17 08:01:40,-33.216782,116.069115,Good Run (50%),2.4192264882481735
2025-01-17 08:01:15,-33.216888,116.068932,Unknown,2.09975828099533
2025-01-17 08:00:50,-33.217003,116.068741,Good Run (50%),1.320350741067567
2025-01-17 08:00:25,-33.217113,116.068542,Unknown,1.0961178828337703
2025-01-17 08:00:00,-33.217224,116.068359,Unknown,1.0608785348831806
2025-01-17 07:59:35,-33.217327,116.068199,Water/Loose (10%),0.7435170589099072
2025-01-17 07:58:45,-33.217514,116.067902,Unknown,1.2255727765009121
2025-01-17 07:58:20,-33.217628,116.06768,Good Run (50%),1.1435510095556225
2025-01-17 07:57:55,-33.217747,116.06749,Unknown,0.7783660534974266
2025-01-17 07:57:30,-33.217861,116.067284,Unknown,0.7668159621712063
2025-01-17 07:57:05,-33.217987,116.067085,Water/Loose (10%),0.5860358337973817
2025-01-17 07:56:40,-33.218105,116.066879,Water/Loose (10%),0.31274535348248755
2025-01-17 07:56:15,-33.218231,116.066673,Unknown,1.17801448797101
2025-01-17 07:55:50,-33.218365,116.066452,Unknown,0.7119143682751155
