UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Average of Traction_Average,Average of Engine_Torque,Average of GPS_Speed,Sum of Every1000thRow,Sum of Air_Temp_Manifold,Sum of Ambient_Air_Temp,Sum of BEARING_PRESSURE_LEFT_DRIVE,Sum of BEARING_PRESSURE_LEFT_IDLE,Sum of BEARING_PRESSURE_RIGHT_DRIVE,Sum of BEARING_PRESSURE_RIGHT_IDLE,Sum of Boost_Pressure_Left,Sum of Boost_Pressure_Left_Voltage,Sum of Boost_Pressure_Right,Sum of Boost_Pressure_Right_Voltage,Year,Quarter,Month,Day,Sum of Eng_Hours,Sum of Engine_Hours__ECU_,Sum of Engine_RPM,Sum of Engine_Temp,Sum of Expr1,Count of FileDetailId,Sum of G_Force_Lat,Sum of G_Force_Long,Sum of G_Force_Vert,Sum of GPS_Altitude,Year,Quarter,Month,Day,Sum of GPS_Heading,Sum of GPS_Sats_Used,Sum of GPS_Time,Year,Quarter,Month,Day,X devidelineTimeWetBegin,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Vehicle_Id,Sum of Traction_Right,Sum of Traction_Left,Sum of Traction_Diff_radio,Time Video Column,Time second,Time minute,Time hour,Time Column,Sum of Time,Sum of Scroll_Speed_Right,Sum of Scroll_Speed_Left,Sum of Scroll_Speed_Difference,Sum of SCROLL_REVERSE_TABLE_RIGHT,Sum of SCROLL_REVERSE_TABLE_LEFT,Sum of SCROLL_FORWARD_TABLE_RIGHT,Sum of SCROLL_FORWARD_TABLE_LEFT,Sum of RowIndex,Count of MeasurementId,Sum of Main_Hydraulic_Pressure_Right,Sum of Main_Hydraulic_Pressure_Left,Log_Date,Sum of JOY_STICK_RIGHT_REVERSE,Sum of JOY_STICK_RIGHT_FORWARD,Sum of JOY_STICK_LEFT_REVERSE,Sum of JOY_STICK_LEFT_FORWARD,Mud Condition
2025-01-14 08:52:12,-33.214775,116.064087,92.4000015258789,82.69999694824219,2.9000000953674316,1,48,23.600000381469727,,10.029999732971191,,7.539999961853027,15.90999984741211,2.0799999237060547,14.649999618530273,1.9600000381469727,1899,Qtr 4,December,30,8603.7001953125,,1980,88,118029,1,0.05999999865889549,0.009999999776482582,-0.019999999552965164,301.6000061035156,1899,Qtr 4,December,30,335.70001220703125,20,5212,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,94.5,90.30000305175781,0.04444441215071098,1899-12-30 08:52:12,12,52,00,1899-12-30 08:52:12,7748,32.849998474121094,32.599998474121094,,50.20000076293945,49.060001373291016,0,0,370700,1,3.200000047683716,188.5,15/01/2025,-71.9000015258789,-70.5999984741211,-66.80000305175781,-65.4000015258789,Dry (70%)
2025-01-14 08:51:52,-33.214920,116.064171,98.0999984741211,71.4000015258789,3.0999999046325684,1,48,23.399999618530273,,9.930000305175781,,7.570000171661377,15.989999771118164,2.0899999141693115,14.729999542236328,1.9700000286102295,1899,Qtr 4,December,30,8603.7001953125,,1992,88,118029,1,0.07000000029802322,0,-0.019999999552965164,301.1000061035156,1899,Qtr 4,December,30,338.2099914550781,20,5152,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,98,98.19999694824219,0.002036628864129181,1899-12-30 08:51:52,52,51,00,1899-12-30 08:51:52,7728,34.52000045776367,33.58000183105469,,50.04999923706055,49.060001373291016,0,0,370600,1,0,149.5,15/01/2025,-71.5,-70.0999984741211,-66.80000305175781,-65.30000305175781,Unknown
2025-01-14 08:51:32,-33.215054,116.064240,95.19999694824219,72.80000305175781,2.9000000953674316,1,48,23.100000381469727,,9.960000038146973,,7.539999961853027,15.970000267028809,2.0899999141693115,12.770000457763672,1.7699999809265137,1899,Qtr 4,December,30,8603.7001953125,,1992,88,118029,1,0.07000000029802322,0,-0.05000000074505806,301,1899,Qtr 4,December,30,342.3999938964844,20,5132,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,97.69999694824219,92.80000305175781,0.050153470312595906,1899-12-30 08:51:32,32,51,00,1899-12-30 08:51:32,7708,31.209999084472656,32.220001220703125,,48.68000030517578,49.060001373291016,0,0,370500,1,0,187.1999969482422,15/01/2025,-67.5999984741211,-66,-66.80000305175781,-65.30000305175781,Unknown
2025-01-14 08:51:12,-33.215195,116.064293,97.9000015258789,69.30000305175781,2.9000000953674316,1,47,23.200000762939453,,9.859999656677246,,7.53000020980835,16.059999465942383,2.0999999046325684,14.399999618530273,1.9299999475479126,1899,Qtr 4,December,30,8603.7001953125,,2004,88,118029,1,0.05999999865889549,-0.009999999776482582,-0.05000000074505806,301.29998779296875,1899,Qtr 4,December,30,338.05999755859375,20,5112,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,96.0999984741211,99.69999694824219,0.036108310775475556,1899-12-30 08:51:12,12,51,00,1899-12-30 08:51:12,7688,31.81999969482422,31.25,,49,47.880001068115234,0,0,370400,1,0,155.89999389648438,15/01/2025,-68.5999984741211,-67.4000015258789,-62.900001525878906,-61.400001525878906,Unknown
2025-01-14 08:50:52,-33.215332,116.064354,95.69999694824219,75.5999984741211,2.700000047683716,1,47,23.299999237060547,,10.09000015258789,,7.449999809265137,16.020000457763672,2.0899999141693115,11.390000343322754,1.6299999952316284,1899,Qtr 4,December,30,8603.7001953125,,1998,88,118029,1,0.05999999865889549,0,-0.029999999329447746,301.6000061035156,1899,Qtr 4,December,30,334.54998779296875,20,5052,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,92.80000305175781,98.5999984741211,0.05882348389574842,1899-12-30 08:50:52,52,50,00,1899-12-30 08:50:52,7668,31.239999771118164,30.530000686645508,,48.849998474121094,47.619998931884766,0,0,370300,1,0,191.8000030517578,15/01/2025,-68.0999984741211,-66.5999984741211,-62,-60.5,Unknown
2025-01-14 08:50:32,-33.215469,116.064407,90.0999984741211,68.5,2.5,1,47,23.399999618530273,,10.050000190734863,,7.440000057220459,15.9399995803833,2.0899999141693115,14.039999961853027,1.899999976158142,1899,Qtr 4,December,30,8603.7001953125,,2004,88,118029,1,0.05000000074505806,0,-0.03999999910593033,299.6000061035156,1899,Qtr 4,December,30,341.2200012207031,20,5032,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,91.9000015258789,88.30000305175781,0.03917299689170668,1899-12-30 08:50:32,32,50,00,1899-12-30 08:50:32,7648,29.270000457763672,30.030000686645508,,47.2400016784668,47.15999984741211,0,0,370200,1,0,173.6999969482422,15/01/2025,-63.400001525878906,-61.70000076293945,-60.5,-58.79999923706055,Good Run (50%)
2025-01-14 08:45:53,-33.217525,116.065300,90.19999694824219,49.900001525878906,2.9000000953674316,1,43,24.600000381469727,,9.890000343322754,,7.5,15.930000305175781,2.0799999237060547,6.170000076293945,1.0499999523162842,1899,Qtr 4,December,30,8603.599609375,,1992,87,118029,1,0.09000000357627869,0,-0.029999999329447746,297.3999938964844,1899,Qtr 4,December,30,342.8999938964844,18,4553,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,89.19999694824219,91.19999694824219,0.021929825295224952,1899-12-30 08:45:53,53,45,00,1899-12-30 08:45:53,7369,34.47999954223633,35.20000076293945,,49.52000045776367,48.33000183105469,0,0,368800,1,0,104.4000015258789,15/01/2025,-70.0999984741211,-69,-64.4000015258789,-63,Unknown
2025-01-14 08:45:33,-33.217667,116.065361,86.30000305175781,49.400001525878906,2.700000047683716,1,41.20000076293945,24.5,,10.029999732971191,,7.510000228881836,15.979999542236328,2.0899999141693115,13.220000267028809,1.809999942779541,1899,Qtr 4,December,30,8603.599609375,,1992,87,118029,1,0.09000000357627869,0,-0.019999999552965164,297.29998779296875,1899,Qtr 4,December,30,342.760009765625,18,4533,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,91.4000015258789,81.19999694824219,0.11159742239991867,1899-12-30 08:45:33,33,45,00,1899-12-30 08:45:33,7349,31.3700008392334,35.220001220703125,,46.66999816894531,48.66999816894531,0,0,368700,1,1.100000023841858,113,15/01/2025,-61.900001525878906,-60.5,-65.5,-64.0999984741211,Unknown
2025-01-14 08:45:13,-33.217812,116.065407,88.80000305175781,48.099998474121094,2.9000000953674316,1,40,24.399999618530273,,9.979999542236328,,7.480000019073486,15.970000267028809,2.0899999141693115,14.210000038146973,1.909999966621399,1899,Qtr 4,December,30,8603.599609375,,1992,86,118029,1,0.09000000357627869,0.009999999776482582,0,297.6000061035156,1899,Qtr 4,December,30,345.260009765625,18,4513,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,87.0999984741211,90.5,0.037569077634021064,1899-12-30 08:45:13,13,45,00,1899-12-30 08:45:13,7329,35.29999923706055,35.31999969482422,,49.0099983215332,48.189998626708984,0,0,368600,1,0,100.30000305175781,15/01/2025,-68.69999694824219,-67.5999984741211,-64,-62.400001525878906,Unknown
2025-01-14 08:41:34,-33.216972,116.065048,78.80000305175781,66.30000305175781,3.0999999046325684,1,49,24.5,,9.789999961853027,,7.510000228881836,15.869999885559082,2.0799999237060547,13.5,1.840000033378601,1899,Qtr 4,December,30,8603.599609375,,1998,88,118029,1,0.019999999552965164,0,-0.009999999776482582,298.79998779296875,1899,Qtr 4,December,30,159.8699951171875,17,4134,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,75.80000305175781,81.9000015258789,0.07448105446241787,1899-12-30 08:41:34,34,41,00,1899-12-30 08:41:34,7110,43.59000015258789,39.279998779296875,,0,0,53.5,58.880001068115234,367500,1,0,136.6999969482422,15/01/2025,79.69999694824219,82.5,97.0999984741211,96.30000305175781,Good Run (50%)
2025-01-14 08:41:14,-33.216816,116.064980,95.0999984741211,61.70000076293945,3.0999999046325684,1,49,24.399999618530273,,9.949999809265137,,7.510000228881836,15.9399995803833,2.0899999141693115,14.069999694824219,1.899999976158142,1899,Qtr 4,December,30,8603.5,,2010,88,118029,1,0.03999999910593033,0,-0.009999999776482582,298.70001220703125,1899,Qtr 4,December,30,162.3800048828125,17,4114,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,90.19999694824219,100,0.09800003051757812,1899-12-30 08:41:14,14,41,00,1899-12-30 08:41:14,7090,37.43000030517578,32.959999084472656,,0,0,50.41999816894531,54.77000045776367,367400,1,9.5,133.89999389648438,15/01/2025,70,74,83.19999694824219,82.5,Unknown
2025-01-14 08:38:55,-33.215881,116.064575,94.5,61.20000076293945,2.200000047683716,1,48,24,,9.699999809265137,,7.539999961853027,15.720000267028809,2.059999942779541,14.4399995803833,1.940000057220459,1899,Qtr 4,December,30,8603.5,,1998,88,118029,1,0.03999999910593033,0,-0.019999999552965164,299.5,1899,Qtr 4,December,30,165.74000549316406,17,3855,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,100,89,0.11,1899-12-30 08:38:55,55,38,00,1899-12-30 08:38:55,6951,23.399999618530273,26.309999465942383,,0,0,41.45000076293945,51.02000045776367,366700,1,29.299999237060547,204.6999969482422,15/01/2025,44.400001525878906,48.400001525878906,72,71.5,Unknown
2025-01-14 08:36:36,-33.215130,116.064270,95.80000305175781,73.80000305175781,2.200000047683716,1,44,23.200000762939453,,9.760000228881836,,7.550000190734863,15.789999961853027,2.069999933242798,14.369999885559082,1.9299999475479126,1899,Qtr 4,December,30,8603.5,,1998,87,118029,1,0.05000000074505806,0,-0.029999999329447746,301.5,1899,Qtr 4,December,30,160.77999877929688,16,3636,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,100,91.69999694824219,0.08300003051757812,1899-12-30 08:36:36,36,36,00,1899-12-30 08:36:36,6812,21.799999237060547,25.5,,0,0,41.619998931884766,50.220001220703125,366000,1,189.60000610351562,224.10000610351562,15/01/2025,44.900001525878906,48.900001525878906,69.69999694824219,69.19999694824219,Unknown
2025-01-14 08:36:16,-33.215088,116.064240,90.9000015258789,66.5999984741211,1.7999999523162842,1,44,23.100000381469727,,10.020000457763672,,7.480000019073486,15.670000076293945,2.059999942779541,11.729999542236328,1.659999966621399,1899,Qtr 4,December,30,8603.5,,1992,87,118029,1,0.05000000074505806,0,-0.019999999552965164,301,1899,Qtr 4,December,30,162.49000549316406,16,3616,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,92.5,89.30000305175781,0.03459456160261824,1899-12-30 08:36:16,16,36,00,1899-12-30 08:36:16,6792,21.3799991607666,21.559999465942383,,0,0,41.2400016784668,48.22999954223633,365900,1,172.8000030517578,221,15/01/2025,44,48,64.0999984741211,63.5,Unknown
2025-01-14 08:28:59,-33.215816,116.064484,98.5,78.30000305175781,3.5,1,48,21.899999618530273,,9.600000381469727,,7.420000076293945,15.890000343322754,2.0799999237060547,14.460000038146973,1.940000057220459,1899,Qtr 4,December,30,8603.2998046875,,1992,88,118029,1,0.07999999821186066,0.029999999329447746,0.03999999910593033,299.1000061035156,1899,Qtr 4,December,30,339.7300109863281,17,2859,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,98.9000015258789,98.19999694824219,0.00707790259693323,1899-12-30 08:28:59,59,28,00,1899-12-30 08:28:59,6355,37.75,39.04999923706055,,53.290000915527344,52.400001525878906,0,0,363700,1,1.899999976158142,194.39999389648438,15/01/2025,-80.5999984741211,-80,-78,-76.80000305175781,Dry (70%)
2025-01-14 08:28:39,-33.215988,116.064552,100,73.0999984741211,3.799999952316284,1,47,22,,9.579999923706055,,7.400000095367432,15.90999984741211,2.0799999237060547,13.350000381469727,1.8200000524520874,1899,Qtr 4,December,30,8603.2998046875,,1998,88,118029,1,0.07000000029802322,0.03999999910593033,0.05999999865889549,299.1000061035156,1899,Qtr 4,December,30,339.45001220703125,17,2839,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,100,100,0,1899-12-30 08:28:39,39,28,00,1899-12-30 08:28:39,6335,40.70000076293945,40.70000076293945,,54.5099983215332,53.18000030517578,0,0,363600,1,56.599998474121094,170.1999969482422,15/01/2025,-83.30000305175781,-82.9000015258789,-80.30000305175781,-79.19999694824219,Unknown
2025-01-14 08:26:20,-33.217098,116.065033,80.69999694824219,55.20000076293945,2.9000000953674316,1,44,21.799999237060547,,9.569999694824219,,7.340000152587891,15.880000114440918,2.0799999237060547,14.550000190734863,1.940000057220459,1899,Qtr 4,December,30,8603.2998046875,,1998,87,118029,1,0.10000000149011612,0.019999999552965164,0.019999999552965164,300.20001220703125,1899,Qtr 4,December,30,338.07000732421875,17,2620,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,75.19999694824219,86.19999694824219,0.12761021333451816,1899-12-30 08:26:20,20,26,00,1899-12-30 08:26:20,6196,41.849998474121094,35.58000183105469,,53.91999816894531,49.47999954223633,0,0,362900,1,67.19999694824219,99.4000015258789,15/01/2025,-82,-81.19999694824219,-68.30000305175781,-67,Good Run (50%)
2025-01-14 08:24:01,-33.218079,116.065460,60,49.599998474121094,1.7999999523162842,1,39,22.200000762939453,,9.720000267028809,,7.369999885559082,15.720000267028809,2.059999942779541,14.489999771118164,1.940000057220459,1899,Qtr 4,December,30,8603.2998046875,,1980,86,118029,1,0.10000000149011612,0,-0.019999999552965164,300.29998779296875,1899,Qtr 4,December,30,345.7699890136719,17,2401,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,85.30000305175781,34.70000076293945,0.5932004745429563,1899-12-30 08:24:01,01,24,00,1899-12-30 08:24:01,6057,22.6200008392334,54.63999938964844,,40.459999084472656,59.06999969482422,0,0,362200,1,15.800000190734863,118.80000305175781,15/01/2025,-41.400001525878906,-39.5,-90.19999694824219,-89.4000015258789,Unknown
2025-01-14 08:21:22,-33.217278,116.065132,92.19999694824219,52.400001525878906,3.0999999046325684,1,46,21.399999618530273,,9.350000381469727,,7.349999904632568,15.399999618530273,2.0299999713897705,14.329999923706055,1.9199999570846558,1899,Qtr 4,December,30,8603.2001953125,,1998,87,118029,1,0.029999999329447746,0,-0.029999999329447746,301.70001220703125,1899,Qtr 4,December,30,161.6999969482422,18,2122,1899,Qtr 4,December,30,1899-12-30 07:36:18,1899,Qtr 4,December,30,1899,Qtr 4,December,30,MM23,96.5,88,0.08808290155440414,1899-12-30 08:21:22,22,21,00,1899-12-30 08:21:22,5898,34.33000183105469,38.75,,0,0,48.650001525878906,57.36000061035156,361400,1,55.099998474121094,118.0999984741211,15/01/2025,65.30000305175781,69.4000015258789,91.80000305175781,91.19999694824219,Unknown
