GPS_Latitude,GPS_Longitude,UTC adjusted datetime Column,Sum of Traction_Diff_radio,Average of Traction_Average,Sum of Engine_Temp,Average of GPS_Speed,Average of Engine_Torque
-12.950203,141.637939,18/01/2025 13:29,0.095092053,93.09999847,88,4.599999904632568,62.599998474121094
-12.949678,141.6371,18/01/2025 13:28,0.039134866,95.19999694824219,87,4.800000190734863,62
-12.950235,141.637817,18/01/2025 13:26,0.011398947918353303,95.90000153,87,3.0999999046325684,47
-12.950658,141.638504,18/01/2025 13:24,0.059670737,94.30000305175781,90,3.5,49.900001525878906
-12.950932,141.638962,18/01/2025 13:23,0,100,90,2.700000047683716,88.80000305175781
-12.950421,141.638107,18/01/2025 13:21,0.043000031,97.80000305175781,88,5.099999904632568,72.30000305175781
-12.94986,141.637161,18/01/2025 13:19,0.11900001525878906,94,87,4.599999904632568,74.30000305175781
-12.95038,141.637802,18/01/2025 13:18,0.030999984741210938,98.40000153,88,4.400000095367432,49.599998474121094
-12.950742,141.638382,18/01/2025 13:16,0.010298661335885789,96.59999847,88,3.5,91.09999847
-12.950158,141.637436,18/01/2025 13:14,0.7249999940395355,5.099999904632568,87,0.10000000149011612,14.600000381469727
-12.950243,141.637436,18/01/2025 13:13,0.076999969,96.09999847,87,5,64.09999847
-12.950698,141.638153,18/01/2025 13:11,0.034627523,93.59999847,87,2.9000000953674316,51.400001525878906
-12.951027,141.638657,18/01/2025 13:09,NaN,0,86,0,9.899999618530273
-12.951028,141.638641,18/01/2025 13:08,NaN,0,88,0,0.8999999761581421
-12.951413,141.639297,18/01/2025 13:06,0.052401698,89.19999694824219,90,3.0999999046325684,72.30000305175781
-12.951395,141.639282,18/01/2025 13:04,0.10418799201898324,92.80000305175781,90,4.599999904632568,64
-12.95078,141.63829,18/01/2025 13:03,0.021999969482421874,98.90000153,88,4.599999904632568,66.80000305175781
-12.950198,141.637329,18/01/2025 13:01,0.079836189,93.80000305175781,86,2.5,29.200000762939453
-12.950209,141.637131,18/01/2025 12:59,0.084016363,93.5,90,4.599999904632568,51.599998474121094
-12.950728,141.638016,18/01/2025 12:58,0.051086923,89.59999847,93,4,90.09999847
-12.951143,141.638626,18/01/2025 12:56,0,100,93,1.600000023841858,88.40000153
-12.951295,141.638702,18/01/2025 12:54,NaN,0,90,0,18.100000381469727
-12.951768,141.639435,18/01/2025 12:53,0.001999969,99.90000153,88,4.199999809265137,59.599998474121094
-12.951979,141.639755,18/01/2025 12:51,0.4129999923706055,79.30000305175781,90,2.9000000953674316,62
-12.95146,141.638977,18/01/2025 12:49,0.23900001525878906,88,92,3.5,77.80000305175781
-12.95098,141.638229,18/01/2025 12:48,0.013402093,96.30000305175781,89,4.599999904632568,71.40000153
-12.95041,141.637329,18/01/2025 12:46,0.065,96.69999694824219,88,5,56.599998474121094
-12.950563,141.637344,18/01/2025 12:44,0.19599998474121094,90.19999694824219,91,3.799999952316284,59.70000076293945
-12.951095,141.638062,18/01/2025 12:43,0.002898506,68.90000153,91,2,89
-12.950816,141.637665,18/01/2025 12:41,0,100,88.19999694824219,4.800000190734863,71.19999694824219
-12.950503,141.637054,18/01/2025 12:39,0.3933649308378223,16.899999618530273,88,0.30000001192092896,92.30000305175781
-12.95094,141.637634,18/01/2025 12:38,0,100,89,4.400000095367432,50.79999923706055
-12.951547,141.63855,18/01/2025 12:36,0.016210724656456933,97.90000153,89,3.799999952316284,61.20000076293945
-12.95207,141.639328,18/01/2025 12:34,0.079000015,96,88,3.700000047683716,49.5
