UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Predicted Mud Condition
17/01/2025 12:58,-12.946346,141.636276,0.6788157956462533
17/01/2025 12:56,-12.945693,141.637039,0.0424407808026559
17/01/2025 12:55,-12.945231,141.637604,-0.06622205859819541
17/01/2025 12:53,-12.944607,141.638336,0.6645707104376268
17/01/2025 12:51,-12.943963,141.639099,1.1046155075141972
17/01/2025 12:48,-12.943278,141.639893,1.8693740744763594
17/01/2025 12:46,-12.943773,141.639297,3.3604722380898435
17/01/2025 12:45,-12.944333,141.638641,0.12405445963782347
17/01/2025 12:43,-12.944734,141.638138,-0.5250329660618562
17/01/2025 12:41,-12.945222,141.637558,0.19471045189086356
17/01/2025 12:40,-12.945705,141.637024,-0.026341447353824377
17/01/2025 12:38,-12.946234,141.636368,0.3608387089561089
17/01/2025 10:57,-12.944179,141.63942,1.136840899628947
17/01/2025 10:57,-12.9441,141.639511,1.652032428854029
17/01/2025 9:01,-12.946013,141.637451,-0.9629754925318719
17/01/2025 9:01,-12.945933,141.637543,-0.8493526415219557
17/01/2025 9:00,-12.94587,141.637619,-1.211263072374634
17/01/2025 9:00,-12.945766,141.637756,-1.1976308188711133
17/01/2025 8:59,-12.945705,141.637833,-1.2582757660538744
17/01/2025 8:59,-12.945645,141.637909,-1.1937349096928376
17/01/2025 8:59,-12.94559,141.63797,-1.2766136419500609
17/01/2025 8:58,-12.945537,141.638046,-1.3245082676772806
17/01/2025 8:58,-12.94549,141.638107,-1.4079402912523662
17/01/2025 8:58,-12.945438,141.638168,-1.1254737322715433
17/01/2025 8:57,-12.945336,141.638275,-0.9913642028630112
17/01/2025 8:57,-12.945305,141.638412,-0.060032617632995944
17/01/2025 8:56,-12.945289,141.63858,-0.743036047091981
17/01/2025 8:56,-12.945267,141.638687,-0.6640680664340342
17/01/2025 8:56,-12.945247,141.638794,-0.5251071123121211
17/01/2025 8:55,-12.945231,141.638901,-0.652359879114984
17/01/2025 8:55,-12.945218,141.639008,-0.5840438718840102
17/01/2025 8:55,-12.945205,141.63913,-0.04817836006721121
17/01/2025 8:54,-12.94519,141.639252,0.012801747591464796
17/01/2025 8:54,-12.945178,141.639374,-0.3923340343987456
17/01/2025 8:51,-12.94513,141.639633,3.3578103276319524
17/01/2025 8:50,-12.945066,141.639984,1.2744101210078025
17/01/2025 8:50,-12.945028,141.640182,0.16736946961687038
17/01/2025 8:50,-12.944988,141.64035,2.173268416851063
17/01/2025 8:49,-12.944985,141.640411,0.9127319831947995
17/01/2025 8:49,-12.94496,141.64061,1.7606083520448013
17/01/2025 8:48,-12.94498,141.640503,2.0542517964150724
17/01/2025 8:48,-12.945004,141.640335,1.4080401522485917
17/01/2025 8:47,-12.945045,141.640167,1.991271482293964
